1382587417795	rescale
1382587418046	rescale
1382587438420	rescale
1382587659492	rescale
1382587659771	rescale
1382587659779	rescale
1382587841284	rescale
1382587841571	rescale
1382587841579	rescale
1382587841587	rescale
1382587841595	rescale
1382587860205	rescale
1382587957210	rescale
1382588018568	rescale
1382588021858	rescale
1382588027056	rescale
1382588041631	rescale
1382588048168	rescale
1382588050872	rescale
1382588052823	rescale
1382588055317	rescale
1382588057978	rescale
1382588060326	rescale
1382588063282	rescale
1382588130153	rescale
1382588132152	rescale
1382588133798	rescale
1382588135295	rescale
1382588141527	rescale
1382588143634	rescale
1382588146047	rescale
1382588148800	rescale
1382588275796	rescale
1382588278143	rescale
1382588282914	rescale
1382588284414	rescale
1382588290391	rescale
1382588291528	rescale
1382588292633	rescale
1382588296586	rescale
1382588299270	rescale
1382588300983	rescale
1382588305626	rescale
1382588415771	rescale
1382588417219	rescale
1382588428465	rescale
1382588437999	rescale
1382588439592	rescale
1382588441065	rescale
1382588442553	rescale
1382588450513	rescale
1382588453210	rescale
1382588454931	rescale
1382588456793	rescale
1382588458986	rescale
1382588460610	rescale
1382588462187	rescale
1382588464076	rescale
1382669111725	rescale
1382670612652	rescale
1382670612697	rescale
1382670705674	rescale
1382670708186	rescale
1382670712194	rescale
Thu Oct 24 2013 20:17:45 GMT-0700 (Pacific Daylight Time)	rescale
Thu Oct 24 2013 20:17:47 GMT-0700 (Pacific Daylight Time)	rescale
Thu Oct 24 2013 20:18:00 GMT-0700 (Pacific Daylight Time)	rescale
Thu Oct 24 2013 20:18:02 GMT-0700 (Pacific Daylight Time)	rescale
Thu Oct 24 2013 20:18:10 GMT-0700 (Pacific Daylight Time)	rescale
Thu Oct 24 2013 20:32:12 GMT-0700 (Pacific Daylight Time)	rescale
Thu Oct 24 2013 20:32:16 GMT-0700 (Pacific Daylight Time)	rescale
Thu Oct 24 2013 20:32:20 GMT-0700 (Pacific Daylight Time)	rescale
Thu Oct 24 2013 20:36:17 GMT-0700 (Pacific Daylight Time)	rescale
